id,Rep,FID_1,Yield,Duration,Blue,Green,Red,Redage,NIR,ndvi_inp,arvi_inp,MCARI,MCARI1,MCARI2,LAI,EVI
37,2,49,2.327222,3,0.036302794,0.084384907,0.042165315,0.163415752,0.410323322,0.813629288,0.790432139,-0.142665569,0.596010094,-6.501915586,4.943505169,0.661657609
37,3,55,3.368977,3,0.035799814,0.097053915,0.039944937,0.191803142,0.508181065,0.85424907,0.840331828,-0.180736748,0.76335003,-1.788835162,5.226950007,0.791285816
37,1,64,1.245216,3,0.039771244,0.100337625,0.046474561,0.188906893,0.443778366,0.810405778,0.785985672,-0.141071615,0.656143858,-4.158800082,4.92101152,0.697346514
38,3,44,3.209541,3,0.036334664,0.100888111,0.04020321,0.196411252,0.498835683,0.850833732,0.837645414,-0.170200898,0.755099206,-1.915306111,5.203117782,0.781292028
38,2,46,2.664196,3,0.034372263,0.096291143,0.037923558,0.189883858,0.483793393,0.854620182,0.842081249,-0.176372781,0.733105996,-1.985768527,5.229539629,0.766867416
38,1,76,3.315,3,0.041607186,0.101268284,0.053213112,0.185740218,0.403747201,0.767099634,0.72333031,-0.127112604,0.579735156,18.86688672,4.618821247,0.621086199
41,2,58,2.852222,3,0.033322642,0.081084121,0.040125636,0.156045988,0.402129918,0.81854095,0.790991036,-0.132236942,0.585181402,-6.839398563,4.97777875,0.649701467
41,1,63,3.831463,3,0.041271523,0.093642078,0.05240627,0.17132844,0.396249324,0.766385304,0.723608733,-0.119165445,0.559461859,11.72905658,4.613836653,0.613501276
41,3,66,3.149667,3,0.040094908,0.092101485,0.050202619,0.168338954,0.398251474,0.776108101,0.736958771,-0.115143889,0.56655258,25.94945944,4.681682328,0.622068841
46,2,61,3.376628,3,0.036958102,0.087573364,0.043836514,0.165733539,0.413454637,0.808277446,0.78148104,-0.130144912,0.600479585,-7.017572422,4.906160022,0.66036823
46,1,62,2.630271,3,0.042012725,0.089989096,0.054882698,0.16062957,0.351723939,0.730045244,0.676965681,-0.104000417,0.482217369,2.279280004,4.360255712,0.543297233
46,3,69,3.269289,3,0.041872365,0.086022034,0.053812796,0.153236255,0.372941628,0.74780439,0.700232513,-0.099679497,0.509791929,3.790550727,4.484179031,0.577389007
76,1,104,3.169535,3,0.034662511,0.089009799,0.046162572,0.16492115,0.376610816,0.781620257,0.734440903,-0.118125421,0.542687146,10.00078288,4.720146156,0.592788668
